-3.9265,5.7992
-3.1716,7.3131
-1.6116,7.5592
-2.6679,7.6911
-1.73,5.5113
-2.2185,7.7442
-2.0619,7.7092
-1.4774,6.0549
-3.2095,7.5171
-2.0139,7.6045
-2.0965,5.1354
-2.8415,5.0672
-3.5516,7.3911
-2.3325,7.6949
-1.6889,5.3469
-1.4937,7.3474
-1.3104,6.8715
-1.3082,6.7842
-1.5221,5.7284
-1.8622,7.7633
-2.8784,7.7677
-3.3058,5.4779
-2.9418,5.069
-3.5689,5.5246
-3.2716,7.6772
-1.8168,5.3181
-2.6161,7.6149
-3.6369,7.3525
-3.6095,6.0303
-3.8214,5.8477
-3.5639,5.8479
-2.9667,5.3237
-1.9473,5.1704
-3.0471,5.4246
-2.8956,7.7992
-3.203,5.5734
-2.2689,7.8705
-2.3213,5.1618
-1.1585,6.1579
-1.8993,5.4068
-3.5772,7.2446
-2.6473,7.6805
-1.4699,6.118
-3.7979,7.3691
-2.0968,7.6464
-4.0118,6.148
-2.2416,7.7414
-1.3737,7.2054
-2.0936,5.2386
-1.426,5.8594
